COD_DISCIPLINA;SGL_DISCIPLINA;NOM_DISCIPLINA;DSC_TPO_CHORARIA;VAL_CARGA_HORARIA;DSC_EMENTA
67489;308063018;Operações Unitárias III;Teórica;80;"Extração líquido-líquido. Lixiviação. Evaporação. Cristalização. Secagem.""""142764"
142764;1612015006;Semiologia no Cuidar;Teórica;40;Premissas da comunicação humana na consulta de enfermagem como recurso de construção e manutenção do vínculo terapêutico. Recursos e técnicas propedêuticas para realização  avaliação física e clínica do sistemas neurológico musculoesquelético e cardi
117639;ECVCV087-80;Mecânica dos Solos II;Teórica;80;Generalidades. Compactação dos solos. Índice de suporte Califórnia. Resistência ao Cisalhamento dos solos. Empuxos de terra. Muros de arrimo. Estabilidade de Taludes. Desenvolvimento e Defesa de Trabalho prático de acompanhamento de obra em campo. En
88958;408000018;Projeto Interdisciplinar 6B;Estudos Independentes;40;Desenvolvimento de projetos científico-tecnológicos e/ou práticos que relacionem as disciplinas do módulo de forma a identificar, descrever, explicar, interpretar e discutir um problema atual de engenharia e propor, apresentar, discutir e explicar um
108572;1212039027;Inteligência Artificial Aplicada;Prática;40;Introdução a IA. Buscas. Agentes inteligentes. Teoria dos Jogos. Maquinas de estado finito. Lógica difusa. Árvores de decisão. Redes neurais. Aprendizado de máquina. IA baseado em regras. Algoritmos genéticos. Técnicas aplicadas em: planejamento de t
91155;500005068;Marketing Audiovisual;Teórica;40;Estudos e medidas que possam determinar estratégias de lançamento, sustentação e relacionamento de produtos audiovisuais no mercado. Análise de mercados da televisão aberta e por assinatura e do rádio AM e FM. Internet e futuros mercados. Controle de
84775;500001033;Estratégias de Recursos Humanos;Teórica;80;"Alinhamento estratégico da Gestão de Pessoas. Balanced Scorecard aplicado à Gestão de Pessoas. Sustentabilidade em Gestão de Pessoas. Sistemas de informação em gestão de pessoas. Indicadores de gestão de pessoas.""""142765"
105495;608000111;Tecnologias Emergentes;Prática;40;"Estudo e aplicação de tecnologias emergentes em sistemas de informação.""""105495"
116298;DIRIDA-80;Institutos de Direito Administrativo;Teórica;80;"Licitação Contratos. Intervenção Supressiva. Intervenção Restritiva. Bens Públicos. Serviços Públicos. Administração Pública Delegada. Processo Administrativo.""""145897"
135901;1212046020;Linguagens e Conteúdos da Educação infantil: Teoria e Métodos;Prática;40;"Processos de desenvolvimento e da aprendizagem da criança na perspectiva da integralidade; diferentes concepções de criança que marcaram distintas práticas pedagógicas, na atenção a essa etapa; o lugar da criança nas instituições de educação infantil"
142767;1612015009;Processos de Cuidar em Saúde Mental;Prática;20;História da psiquiatria reforma psiquiátrica e sua relação com a luta antimanicomial. Políticas públicas em saúde mental no Brasil. Semiologia psiquiátrica. Caracterização da doença mental e das principais patologias: neuroses psicoses transtornos pe
148466;FISIOGINOB-60;Fisioterapia Em Ginecologia e Obstetrícia;Teórica;60;Princípios clínicos do aparelho reprodutor feminino. Conhecimento do ciclo da mulher como um todo, desde a infância, passando pelo período reprodutivo e chegando ao climatério. Especificações de cada trimestre gestacional bem como as alterações anatô
131304;302086063;Pesquisa de Mercado e Opinião Pública;Prática;40;Aspectos práticos e teóricos para a compreensão e a execução de pesquisas de mercado e de opinião pública. Aspectos da processo de pesquisa - desde o reconhecimento das  demandas até o diagnóstico do problema de pesquisa. Os diferentes métodos de col
89148;106044041;Projeto de Estradas e Aeroportos;Teórica;80;"Projeto geométrico. Projeto de terraplenagem. Projeto de Drenagem. Interseções e projetos complementares. Pavimentos flexíveis e rígidos. Métodos de dimensionamento de pavimentos. Execução e manutenção de pavimentos.""""132240"
134272;2004000022;Vigilância Sanitária;Prática;20;Bases e histórico da Vigilância Sanitária no Brasil. Papel da Anvisa como regulador de Vigilância Sanitária. Abrangência da Vigilância Sanitária nas principais áreas de atuação do Biomédico. Gerenciamento de risco sanitário. Legislações Sanitárias. B
146308;1830;Energia Solar II - Geração Fotovoltáica Distribuida;Teórica;40;Aplicações Gerais da Engenharia Solar. Radiação Solar: Sol, Radiação Extraterrestre e Geometria Solar. Instrumentos de Medição. Modelos de Estimativa da Radiação Solar. Mapas e Banco de Dados Solarimétricos. Energia Solar Fotovoltaica O efeito fotovo
88743;502050117;Operações Unitárias II;Teórica;80;"""""89628"
66810;502050074;Humanidades;Teórica;40;"Sociedade Contemporânea: características e processos de transformação. Processo de globalização e mundialização da cultura. Desafios éticos na contemporaneidade. As competências socio emocionais para o século XXI.""""114866"
91389;800018008;Projeto Interdisciplinar 4A;Estudos Independentes;40;"Atividade educacional planejada e realizada com alunos do 1º ciclo do Curso de Ciências Biológicas envolvendo as áreas do conhecimento da Física, da Didática Específica, da Educação Ambiental e da Gestão, Planejamento e Avaliação Educacional.""""9138"
144045;510033001;Bebidas: Fermentadas e Café;Prática;40;Abordagem da importância das bebidas e harmonizações. Enologia. O café tipos de grãos métodos de cultivo produção e beneficiamento. Preparação da bebida na xícara máquinas e utensílios. Avaliação da profissão barista e técnicas de serviço. Cervejas a
110475;408036023;Máquinas e Acionamentos Elétricos;Teórica;80;Princípios de conversão eletromecânica de energia. Princípios de funcionamento, características estáticas e dinâmicas, noções de especificação e modelagem de máquinas elétricas. Sistemas de acionamentos elétricos. Características conjugado versus vel
89811;800000666;Educação Física para Pessoas com Deficiencia;Teórica;40;"""""124563"
142883;1212025046;Modelos Matemáticos II;Teórica;40;Álgebra Linear e sistemas lineares. Módulo: funções, equações e inequações.Exponenciais e Logarítmos: funções, equações e inequações. Princípios trigonométricos e funções periódicas. Limites, Derivadas e Integrais de funções de uma variável. Otimiza
88607;308057070;Projeto Interdisciplinar 6B;Teórica;40;Proposta de prática e construção interdisciplinar elaborada coletivamente. Será apresentado um tema envolvendo as disciplinas do módulo e definido pelo colegiado do curso, sobre o qual os alunos deverão desenvolver uma pesquisa técnica/científica. Ap
110461;608000114;Sistemas Elétricos de Potência I;Teórica;80;"Introdução aos Sistemas Elétricos de Potência. Sistemas em PU. Parâmetros da linha de transmissão. Resistência, indutância, capacitância. Matrizes de rede. Componentes simétricas. Faltas simétricas e assimétricas. Introdução à proteção.""""85596"
135046;311056013;Trabalho Interdisciplinar Dirigido III;Teórica;40;"""""90231"
15634;1103275;Historiografia Brasileira;Teórica;80;"Produção historiográfica no processo de produção da escrita da história do Brasil.""""107344"
89548;608004024;Planejamento e Projeto Industrial;Teórica;80;Concepção e filosofia dos processos. Desenvolvimento de fluxogramas de processos. Avaliação de rotas alternativas de processos. Planejamento e elaboração de um projeto. Etapas de um projeto. Estudo de viabilidade técnica, projeto básico, projeto deta
91735;608050056;Projeto Interdisciplinar 5B;Estudos Independentes;40;Proposta de prática e construção interdisciplinar elaborada coletivamente. Será apresentado um tema envolvendo as disciplinas do módulo e definido pelo colegiado do curso, sobre o qual os alunos deverão desenvolver uma pesquisa técnica/científica. Ap
88801;500012037;Tratamento de Águas;Teórica;80;"""""93332"
110217;504085001;Mitopéia e Construção de Mundos;Teórica;40;"Fontes criativas. Criação do mito. Estilos. Construção de mundos, sociedades e personagens.""""93398"
93368;500062087;Projeto Experimental;Estudos Independentes;40;"""""93368"
110221;504085002;Modelagem 3D Básica;Prática;80;Conceitos de modelagem 3D. Ferramentas de modelagem. Modelagem para jogos. Materiais, texturas e iluminação. Alpha map. Low poly. High poly. Modelagem de objetos, veículos, ambientes internos e externos e personagens de baixa complexidade. UV map. Mo
88892;500011025;Instalações Elétricas;Teórica;40;"""""54783"
148413;PROJEINTI-60;Projeto Integrador I;Teórica;60;A disciplina busca desenvolver nos alunos do curso de graduação em Farmácia, habilidades para a análise crítica de investigações da área da saúde e para o desenvolvimento de projetos de pesquisa. Pretende que o aluno ao final dela seja capaz de siste
90583;800022055;Processos de Investigação Científica;Prática;40;"""""90583"
106854;800086019;Metafísica;Teórica;40;"Noções gerais e introdutórias de metafísica naturalista (ontologia das propriedades)""""91955"
91955;302086047;Trabalho de Conclusão de Curso - Projeto;Estudos Independentes;60;Definição do objeto e delimitação do tema. Execução de projeto: teoria ? articulação entre autores e temática proposta, com ênfase em produções recentes e atualizadas ? e prática ? como resultados propostos que confirmem ou problematizem o projeto pr
121870;650426-80;Crimes Em Espécie: Interesses Sociais e Públicos;Teórica;80;Crimes contra a organização do trabalho. Crimes contra o sentimento religioso e contra o respeito aos mortos. Crimes contra a dignidade sexual. Crimes contra a família. Crimes contra a incolumidade pública. Crimes contra a paz pública. Crimes contra 
134413;101016047;Práticas Integrativas do SUS;Prática;20;Práticas integrativas aplicadas no SUS. Princípios da homeopatia. Manipulação de medicamentos homeopáticos. Princípios da fitoterapia.  Prescrição de medicamentos homeopáticos e fitoterápicos de acordo com a legislação vigente. Estudo de casos clínic
88584;308057057;Transportes;Teórica;40;"Sistemas e gerência de tráfego. Sinalização e segurança de transito. Análise de sistema de transportes. Modelos institucionais para o planejamento e a gestão dos transporte.""""15623"
135715;302086079;Ouvidoria;Teórica;80;"Histórico da ouvidoria do mundo e do Brasil. Perspectivas futuras e interação com modelo democrático. O modelo brasileiro de ouvidoria, cidadania, direitos humanos; flexibilidade e assertividade, transparência e interação; ética do comportamento. Pla"
63789;610050068;Tópicos Especiais I;Teórica;40;"Ementa variável que pode compreender tópicos específicos para o profissional de sistemas de informação, servindo como base de atualização tecnológica e/ou complementação. O tema trabalhado é definido a cada semestre pelo Colegiado do curso.""""86976"
145899;1400;Biologia Marinha;Teórica;80;Estudo da estrutura e dinâmica das características geológicas, físico-químicas ebiológicas do ambiente marinho, incluindo as relações entre os fatores ambientais eos organismos marinhos. Métodos de estudos em oceanografia e biologia marinha.A inte
147313;MECANOT-60;Mecanoterapia;Teórica;60;Dispositivos instrumentais de natureza mecânica, com o objetivo de desenvolver força e amplitude articular. Aplicação dos recursos mecanoterapêuticos. Princípios físicos da água e seus efeitos fisiológicos como recurso terapêutico. Métodos e técnicas
110223;504085003;Game Design;Prática;40;"Experiência (emoção e desafios). Elementos de um jogo. Tema de um jogo. Jogo X Jogador. Mecânica do jogo. Balanceamento da mecânica. Interface do jogo. Narrativa. Fluxo do jogo. Mundos, personagens, ambientes e estética.""""110223"
105275;308077037;Otimização de Sistemas;Teórica;80;"Introdução a programação linear. Método gráfico. Método simplex. Processos estocásticos e cadeias de Markov. Teoria das filas. Simulação discreta. Modelagem e simulação. Análise de sensibilidade.""""132242"
91249;408000030;Pós-Operatório em Estética;Teórica;40;"Conhecimento de cirurgias plásticas estéticas; Complicações pós-operatórias. Tratamentos pós-operatórios; Orientações pós-operatórias; preenchimentos diversos; intervenções combinadas. Consulta com o cirurgião. Anestesia. Contra-indicações""""91249"
134411;101016045;Química Analítica e Instrumental;Prática;40;"Estudo dos cálculos para o preparo de soluções das reações químicas dos compostos inorgânicos e das técnicas das análises químicas quantitativas .""""134411"
136344;502085002;Princípio de Ilustração;Teórica;40;"Princípios de desenho. Materiais. Linhas, formas, perspectiva, volumes, sombra e luz. Anatomia. Sketch. Lineart. Desenho vetorial.""""86606"
84911;411001016;Gestão da Informação e Conhecimento;Teórica;40;"A informação; A informação nas organizações; Inteligência organizacional e gestão pública inteligente; Perspectivas da gestão da informação na gestão pública.""""84733"
89597;106046047;Gestão da Cadeia de Suprimentos;Teórica;40;"Desenvolver fundamentos de logística e Gestão da Cadeia de Suprimentos. Gestão Estratégica de Suprimentos: estratégia de transporte; estratégia de estoque; estratégia de localização. Organização e controle da Cadeia de Suprimentos.""""89898"
89898;610000218;Inteligência Artificial;Teórica;40;Conceitos de Inteligência Artificial. Programação simbólica. Métodos de resolução de problemas. Representação do Conhecimento. Lógica de predicados e de primeira ordem. Métodos de busca. Aprendizado. Introdução aos sistemas baseados em conhecimento, 
148258;QUIMIFARMA-90;Química Farmacêutica;Teórica;90;Definição e importância da química farmacêutica e química medicinal. Propriedades físico-químicas dos fármacos. Abordagem químico molecular das Ligações fármaco-receptor (Teoria dos receptores). Influência de grupamentos químicos específicos na ação
132182;100093003;Análises Histológicas e Citogenéticas;Prática;40;"Biossegurança.  Introdução à Histologia.  Análise histológica normal e patológica . Introdução à análise citogenética. Núcleo (cromatina cromossomos divisões celulares). Elaboração de laudos laboratoriais na área de citogenética.""""124566"
124566;1512000269;Projeto Interdisciplinar 2C;Teórica;80;"""""138147"
88645;500062053;Oficina de Criação;Prática;80;"""""104439"
110242;504085015;Realidade Virtual para Jogos;Prática;40;"Conceitos. História. Tipos de RV. Sistemas de RV. Imersão, interação e envolvimento. Dispositivos de RV. Aplicações da RV.""""105158"
88893;500011026;Projeto de Estradas e Aeroportos;Teórica;80;"""""14987"
14989;3621059;Finanças e Comércio Internacional;Teórica;80;"A evolução do sistema financeiro internacional: o sistema do Padrão-Ouro; o Sistema de Bretton Woods; o sistema Pós-Bretton Woods. Globalização Financeira. Mercados Emergentes. Risco-País. Fluxos de Capitais. Crises Financeiras. Investimento Estrange"
17472;3411248;Programa de Ação Social;Estudos Independentes;40;Adquirir habilidades para realizar trabalhos junto à comunidade, identificando fatores de risco que favorecem o desenvolvimento de doenças, estabelecendo propostas de intervenção para diminuir ou eliminar os fatores de risco da coletividade. Desenvol
15958;3621073;Economia Brasileira;Teórica;80;Economia agrário-exportadora e a crise cafeeira. O processo de industrialização. Regime Militar e o Milagre Econômico. Os choques do Petróleo e a economia brasileira. Redemocratização e políticas econômicas heterodoxas. Governo Collor e a tentativa d
15763;3411215;Estágio de Fisioterapia em Saúde Coletiva;Estágio Supervisionado;200;Adquirir habilidades para realizar trabalhos junto à comunidade, identificando fatores de risco que favorecem o desenvolvimento de doenças, estabelecendo propostas de intervenção para diminuir ou eliminar os fatores de risco da coletividade. Desenvol
16662;3308874;Programação Orientada a Objetos;Teórica;80;Paradigmas de Objetos e mensagens. Contribuições  da programação orientada a objeto. Características. Classes e instâncias. Encapsulamento de estruturas e comportamento. Hierarquia de classes e herança de propriedades. Extensibilidade e polimorfismo.
16687;3308885;Engenharia de Software;Teórica;80;"Fundamentos de engenharia de software. Conceitos de gestão de projetos, Métricas de software, Análise e gestão de riscos, Planejamento, gestão e cronograma, Garantia da qualidade. """"17209"
16611;1103327;História Antiga;Teórica;80;"Antigüidade oriental: da pré-história e comunidades antigas aos povos orientais (egípcios, fenícios, mesopotâmicos e hebreus). Antigüidade clássica: os egeus, os gregos, os povos da Itália pré-romana e os romanos.""""16616"
16914;3443128;Bioquímica;Prática;40;"Estudo dos fenômenos químicos e bioquímicos no interior das células e fora delas. Processos metabólicos normais e alterados do corpo humano. Síntese e degradação das moléculas de interesse biológico.""""16914"
16927;3443136;Neuroanatomia;Prática;40;"Estudo da organização e estrutura macroscópica do sistema nervoso. Estudo em peças anatômicas formolizadas e em modelos do sistema nervoso. """"16927"
146905;2459;Estudo Dirigido - Oficina de Debates e Produção do Conhecimento V;Teórica;20;As oficinas são conjuntos inovadores de atividades estruturantes e integradoras, que acompanham o currículo transversalmente, têm a finalidade de unir conteúdos das diversas disciplinas de cada período entre si e contextualizá-los. As oficinas estarã
15321;3620048;Contabilidade Internacional;Teórica;80;"Contexto geral da Contabilidade Internacional; Comparação entre as normas brasileiras, as americanas e internacionais; Evidenciação Contábil (Disclosure), segundo as normas internacionais do IASB e as normas norte-americanas do FASB; Órgãos Regulamen"
28281;1050210011;Trabalho Interdisciplinar de Graduação VI : Tópicos em Cultura e Poder;Estudos Independentes;40;"Tópicos contemporâneos sobre cultura e identidade; Desenvolvimento de atividade transdisciplinar tematizada que integre as diferentes disciplinas do módulo de estudo; Elaboração, gerenciamento e apresentação de um produto acadêmico que sintetize os s"
17964;3621134;Relações Internacionais e Direito;Teórica;80;Evolução do sistema de proibição e regulação do uso da força, mecanismos pacíficos de solução de controvérsias, sistema coletivo de manutenção da paz e segurança internacionais. Proteção Internacional da Pesao Humana, Direito internacional dos direit
17965;3621135;Trabalho de Conclusão de Curso I;Trabalho de Conclusão de Curso;130;"Elaboração da estrutura e desenvolvimento do Trabalho de Conclusão de Curso.""""17966"
17966;3621136;Trabalho de Conclusão de Curso II;Estudos Orientados;130;"Elaboração da estrutura e desenvolvimento do Trabalho de Conclusão de Curso.""""27449"
17967;104051029;Legislação e Ética;Teórica;40;"Conscientização dos principais princípios filosóficos (comum, bivalência, caridade, cooperação, indiscernabilidade, plenitude, razão, realidade, etc.) e leis que permeiam a área da saúde. """"27450"
17968;104051030;Trabalho Interdisciplinar de Graduação - Ética e Legislação Profissional;Estudos Autônomos;80;"Ética e Legislação profissional""""27456"
17969;104051028;Tratamento Clínico em Podologia;Teórica;80;"Tratamento de calos, calosidades, verrugas plantares, unhas encravadas, fissuras, micoses, verificação da marcha, confecção de anteparos, teste de sensibilidade e orientação aos clientes sobre medidas de prevenção""""27453"
17970;4500022;Administração Financeira;Teórica;80;Fundamentos básicos de administração financeira. Administração dos ativos e passivos circulantes (capital de giro). Análise do ponto de equilíbrio e alavancagem: financeira, operacional e total. Análise e técnicas de análise de investimentos. Estrutu
17691;4345037;Termodinâmica Aplicada;Teórica;80;"Psicrometria. Disponibilidade e Irreversibilidade. Ciclos de Motores. Ciclos de Refrigeração. Cargas térmicas de aquecimento e refrigeração. Processos de liquefação. Análise termodinâmica de processos. Refrigerantes. Bombas de calor.  """"91012"
91012;400000271;Tópicos Especiais em Estética;Teórica;40;"Inovações em estética, mercado atual, atualidades em equipamentos, cosméticos e técnicas avançadas. Tópicos em medicina estética. Papel do esteticista em procedimentos de medicina estética.""""85432"
85432;500062039;Estágio Supervisionado;Teórica;40;"""""17659"
16379;4300039;Química Inorgânica;Prática;40;"Propriedades periódicas dos elementos: classificações, comportamentos e propriedades. Estudo dos elementos representativos e de transição. Relação entre a estrutura dos compostos inorgânicos e sua geometria. Teorias ácido-base e reatividade.""""1637"
91250;408000031;Imagem Pessoal;Prática;40;"Conhecimento teórico e prático de diversas técnicas de maquiagem, colorimetria e corte de cabelo para utilização em diferentes ocasiões respeitando a necessidade, personalidade e características individuais; promovendo melhoria da qualidade de vida."""
89371;408077030;Tópico Especiais I;Teórica;40;Esta disciplina consiste em palestras ministradas por professores, profissionais de TI, profissionais de áreas afins ou administradores, que abordarão temas diversos ligados a história da tecnologia da informação, avanços tecnológicos, novidades nos 
16961;3335142;Trabalho Interdisciplinar de Graduação I;Estudos Autônomos;80;Estudo da interdisciplinaridade dos conteúdos da estrutura curricular das disciplinas do primeiro período, buscando a formação integral e o desenvolvimento de um profissional com uma visão crítica de princípios éticos, mercadológicos e humanos ligado
142475;800059001;Panificação;Prática;80;Introdução a história aos fundamentos técnicos e o processo de panificação. Conhecimento e utilização de utensílios e equipamentos específicos da área.  Os principais ingredientes e as etapas de preparação e execução de vários tipos de pães e produto
145890;1391;Level Design;Teórica;40;"Princípios de Level Design. Desafios. Balanceamento. Tutorial. Layout.""""135903"
105171;611002010;Proficiência em Direito Público;Teórica;40;"INTRODUÇÃO CRÍTICA AOS DIREITOS HUMANOS. SISTEMAS INTERNACIONAIS DE PROTEÇÃO DOS DIREITOS HUMANOS. OS DIREITOS HUMANOS E O ESTADO BRASILEIRO.""""148041"
15765;4207154;Direito Civil IV - Contratos em Espécie;Teórica;80;Dos Contratos em Espécie: Compra e Venda. Troca. Promessa e Compromisso de Compra e Venda. Doação. Locação. Leasing. Fiança. Prestação de Serviços. Empreitada. Empréstimo. Depósito. Mandato. Gestão de Negócios. Franquia. Sociedade. Transporte. Seguro
17756;4345046;Química Orgânica;Teórica;80;Propriedades gerais dos compostos orgânicos: ligações químicas, hibridizações, classificações. Propriedades e reações de alcenos, alcinos, álcoois e ésteres. Reações radicalares. Reações orgânicas: substituição, eliminação e adição. Reações iônicas: 
15778;4207167;Direito Processual Civil IV;Teórica;80;Processo cautelar. Teoria Geral do Processo Cautelar. Antecipação de tutela satisfativa genérica e específica. Dos procedimentos cautelares específicos. Dos procedimentos especiais. Procedimentos especiais de jurisdição contenciosa. Procedimentos esp
0;NULL;NULL;NULL;NULL;NULL
0;4207170;Prática Jurídica Simulada I - Prática em Direito Privado;Teórica;40;"Procedimento relativo à instauração e tramitação de processo judicial civil. Elaboração de petições, recursos e demais atos processuais.""""86598"
104388;306081030;Acionamentos Elétricos;Prática;40;Simbologia dos dispositivos eletromagnéticos utilizados nos acionamentos de motores elétricos. Conversores estáticos de potência: conversores CA/CC, CC/CC, CC/CA, CA/CA. Dispositivos de acionamento. Comando e proteção de motores elétricos: partida di
145616;1112;Startup de Comunicação;Teórica;40;"""""17344"
17344;4300064;Cálculo Numérico;Teórica;40;"Sistemas lineares. Interpolação. Ajuste de curvas. Integração numérica. Raízes de Equações.""""16735"
16735;3621114;Estatística;Prática;20;Introdução à Estatística Descritiva. Natureza e Fundamentos dos Métodos Estatísticos. Técnicas de Amostragem. Séries Estatísticas. Apresentação Estatística: Tabelas, Gráficos e Análise. Análise Exploratória de Dados. Distribuição de Freqüência: Gráfi
28279;1050210010;Trabalho Interdisciplinar de Graduação V : Tópicos em Direitos Humanos;Estudos Independentes;40;"Tópicos contemporâneos sobre proteção internacional ao indivíduo; Desenvolvimento de atividade transdisciplinar tematizada que integre as diferentes disciplinas do módulo de estudo; Elaboração, gerenciamento e apresentação de um produto acadêmico que"
17960;3621130;Teorias de Segurança Internacional;Teórica;40;Estudos Estratégicos como campo científico. Aspectos conceituais e teóricos dos fenômenos da guerra, guerrilha e terrorismo. Dinâmica da guerra (terra, mar e ar). Armas de Destruição em Massa e Operações Que Não a Guerra (WMD e OOTW). Teorias de Diss
110241;504085014;Programação de Jogos para Dispositivos Móveis;Prática;80;"Ambientes de desenvolvimento. Linguagens e bibliotecas. Motores para jogos. Programação de jogos 2D e 3D para dispositivos móveis. Construção de caso: 2D Platform / 2D Puzzle.""""27245"
27245;105054006;Trabalho Interdisciplinar de Graduação I;Teórica;40;"Identificação de temas transversais à formação para trabalhos interdisciplinares, a prática da interdisciplinaridade.""""92016"
92016;304072034;Nutrição Esportiva;Teórica;40;Fundamentos de Nutrição Esportiva. Fisiologia do exercício, treinamento esportivo e bioquímica do exercício. Importância dos nutrientes no exercício. Avaliação nutricional e cálculos dietéticos para indivíduos ativos e atletas. Recursos ergogênicos n
23324;CBA039-80;Estágio Específico - Psicodiagnóstico Organizacional;Prática;40;Desenvolvimento de um diagnóstico organizacional a partir da análise da demanda visando analisar os aspectos estruturais, organizacionais e a atividade de trabalho. Aplicação de metodologias de análise da atividade constituídas das fases de observaçã
23323;CSA351-60;Processos de Análise e Gestão de Pessoas - Desenvolvimento de Equipe;Prática;20;"Ambiente empresarial e gestão de pessoas. A criação de valor e a capacidade competitiva. Cultura e mudanças organizacionais. Liderança - motivação, compromisso e retenção; gestão do clima. Remuneração, Reconhecimento e Desempenho: Estratégias de remu"
23325;CBA035-80;Estágio Específico em Psicologia das Organizações e do Trabalho;Prática;40;Aplicação de conhecimentos teóricos e técnicos na prática institucional, na área da Psicologia Organizacional e do Trabalho. Análise do desenvolvimento do trabalhador: saúde, segurança e eficiência no trabalho. Planejamento de estratégias de interven
18623;4207270;Direito do Consumidor;Teórica;40;Conceito de consumidor. A tutela jurídica do consumidor: tutelas constitucional e infraconstitucional. O surgimento do Direito do Consumidor e sua evolução histórica. Características próprias do contrato de consumo. Responsabilidade civil, penal e ad
20592;CEG152-80;Gerência de Projetos;Ensino a Distância;60;Projetos. Metodologias de planejamento e gestão de projetos. Áreas de conhecimento da gerência de projetos: Escopo, Tempo, Risco, Integração, Comunicação, Custo, Recursos Humanos, Aquisição, Qualidade. Grupos de processos: Iniciação, Planejamento, Ex
22823;CIN244-80;Programação Orientada a Objetos;Teórica;40;Conceitos fundamentais do paradigma de programação orientada a objetos: objeto, atributo, método, classe. Herança. Polimorfismo. Reusabilidade de software. Componentes. Criação e uso de bibliotecas de classes. Relacionamentos entre classes: agregação
23880;CSA755-60;Liderança, Gestão e Empreendedorismo;Teórica;60;Estudo das principais teorias e instrumentos administrativos que fundamentam estrutura organizacional do serviço de enfermagem em organizações prestadoras de serviço de saúde (OPSS). Planejamento, organização, controle e avaliação do serviço e da ass
23274;CSA326-60;Psicologia Sócio-histórica;Teórica;60;"Fundamentos teórico-metodológicos; principais conceitos e implicações psicopedagógicas. A prática profissional em psicologia sócio-histórica.""""26186"
